N,P,K,temperature,humidity,ph,rainfall,label
91,73,65,21.9,68.49,6.67,321.18,mustard
99,22,50,16.94,53.04,6.37,385.45,mustard
44,62,68,11.45,54.43,7.22,338.87,mustard
112,71,53,16.11,68.6,6.21,329.39,mustard
82,27,60,10.91,58.36,6.86,495.68,mustard
58,76,28,16.55,58.93,7.06,475.3,mustard
90,28,38,17.41,53.08,6.2,318.83,mustard
43,37,43,15.45,68.05,6.55,316.18,mustard
99,80,57,20.15,51.75,6.6,305.3,mustard
118,43,69,23.43,64.16,6.88,412.39,mustard
54,24,31,12.5,56.59,6.58,351.75,mustard
54,62,51,14.19,69.79,6.37,305.4,mustard
42,43,20,19.0,54.0,6.98,409.8,mustard
84,53,46,10.88,69.09,6.16,442.46,mustard
63,69,46,15.65,67.57,7.27,433.92,mustard
92,28,29,17.41,50.27,7.37,342.74,mustard
70,30,63,23.69,51.72,6.2,357.58,mustard
77,41,50,23.14,59.55,7.31,419.88,mustard
55,34,64,29.67,69.41,6.82,788.95,groundnut
101,53,57,32.17,76.29,6.39,652.95,groundnut
47,34,59,29.23,71.43,6.55,708.7,groundnut
44,22,42,31.71,62.54,6.73,707.12,groundnut
64,58,59,21.13,65.26,6.77,536.89,groundnut
52,53,48,32.88,68.59,6.44,737.79,groundnut
63,66,24,31.75,75.75,6.13,524.89,groundnut
83,51,45,31.81,70.12,6.84,542.58,groundnut
104,62,44,32.83,67.52,6.11,606.63,groundnut
91,55,53,29.34,77.2,6.73,554.75,groundnut
119,27,63,31.53,67.52,6.72,635.23,groundnut
87,41,67,34.85,75.33,6.02,589.07,groundnut
95,29,55,33.0,66.93,6.25,748.47,groundnut
86,30,38,21.12,67.98,6.82,683.25,groundnut
50,21,25,27.53,67.79,6.88,715.4,groundnut
56,24,31,21.63,67.64,6.38,751.81,groundnut
46,77,56,22.29,66.54,6.64,760.65,groundnut
115,55,68,33.62,60.23,6.07,622.01,groundnut
64,53,26,32.24,76.03,6.16,520.18,groundnut
119,64,62,30.01,71.89,6.5,752.05,groundnut
116,47,28,19.12,68.71,7.21,480.54,tomato
42,70,46,18.06,77.5,6.28,547.1,tomato
45,31,23,27.22,76.89,7.11,536.37,tomato
101,57,26,22.37,66.92,6.75,465.49,tomato
112,63,50,28.26,72.36,6.04,608.22,tomato
114,30,47,28.57,63.95,7.07,483.67,tomato
69,49,23,24.32,65.31,7.28,528.64,tomato
77,32,39,27.92,63.44,6.75,457.26,tomato
101,47,50,27.06,73.25,7.05,646.89,tomato
96,78,55,22.95,70.91,6.0,615.7,tomato
66,36,60,29.4,66.28,6.07,502.13,tomato
85,60,56,20.32,69.35,6.34,488.66,tomato
87,79,57,23.75,62.05,6.44,663.48,tomato
60,55,58,29.28,75.15,7.24,670.35,tomato
63,57,54,21.93,68.5,6.56,646.41,tomato
88,25,42,20.15,71.16,7.49,475.12,tomato
52,76,25,23.01,64.56,6.92,552.56,tomato
70,23,57,24.99,78.18,7.35,448.04,tomato
116,80,57,24.51,61.78,6.56,412.69,tomato
70,53,25,22.53,76.67,6.62,485.83,tomato
60,49,25,13.66,77.63,5.96,539.26,potato
66,53,35,23.78,75.0,6.38,550.48,potato
68,78,51,15.81,63.84,5.72,578.06,potato
68,28,56,21.12,72.88,5.51,418.15,potato
83,73,49,23.5,66.99,5.86,524.35,potato
68,80,62,10.26,63.72,6.33,579.79,potato
109,72,61,19.3,63.36,5.91,578.51,potato
117,46,61,10.59,66.56,5.51,340.89,potato
84,68,47,18.85,70.13,6.39,543.82,potato
78,21,25,16.23,73.66,6.15,493.86,potato
54,78,30,12.73,79.82,5.55,335.37,potato
71,48,42,20.43,71.69,6.31,413.36,potato
111,42,45,10.72,69.16,6.41,460.67,potato
96,64,48,16.89,60.53,6.34,334.92,potato
63,54,53,15.67,67.26,5.96,517.99,potato
52,75,55,15.85,72.9,6.08,481.19,potato
119,44,62,24.73,71.27,6.29,565.58,potato
110,52,23,18.41,61.39,5.71,304.47,potato
117,26,36,20.62,63.08,6.12,380.78,potato
106,65,46,17.74,73.03,6.47,553.82,potato
89,78,69,26.48,75.1,6.49,1035.65,banana
86,50,44,34.27,77.01,6.74,1654.46,banana
109,49,29,31.09,88.63,7.2,1760.87,banana
97,56,56,27.5,81.02,6.72,1413.96,banana
50,23,46,25.5,86.29,7.29,1796.05,banana
68,41,24,26.88,78.75,6.9,1679.76,banana
103,71,56,29.71,80.45,6.02,1095.09,banana
49,65,67,31.62,83.24,6.13,1701.3,banana
46,62,55,28.25,80.58,7.34,1961.23,banana
77,45,51,29.22,82.6,6.32,1471.61,banana
69,52,60,25.76,84.54,6.55,1613.01,banana
46,39,48,30.03,88.84,6.92,1359.8,banana
62,35,21,34.48,87.15,6.02,1549.36,banana
116,58,22,34.04,76.13,6.85,1015.84,banana
46,63,22,31.44,75.05,7.33,1564.7,banana
88,58,63,32.84,78.21,7.14,1604.9,banana
102,72,69,34.1,76.62,6.35,1417.46,banana
99,46,64,25.29,82.68,6.55,1125.51,banana
98,37,35,33.6,82.27,6.15,1039.21,banana
47,50,28,26.01,87.79,6.12,1743.25,banana
79,49,49,32.62,72.48,6.54,650.89,watermelon
119,31,52,31.73,69.78,7.43,602.16,watermelon
83,71,27,28.77,62.16,7.35,426.02,watermelon
54,74,41,26.67,71.98,7.41,604.86,watermelon
77,47,44,23.64,70.27,7.27,584.76,watermelon
46,43,45,28.99,61.31,6.33,670.45,watermelon
50,35,39,23.74,60.91,6.0,514.41,watermelon
45,20,25,26.3,65.55,6.84,649.93,watermelon
67,38,59,22.12,65.26,7.31,694.14,watermelon
101,31,21,27.48,74.69,6.84,510.75,watermelon
110,56,40,31.03,63.22,6.4,606.78,watermelon
63,44,67,26.41,70.23,6.19,571.31,watermelon
92,32,41,29.34,60.69,7.19,625.89,watermelon
58,72,34,34.96,70.72,7.33,407.76,watermelon
91,29,39,30.48,75.29,6.34,649.42,watermelon
57,60,53,29.31,67.34,6.69,614.82,watermelon
63,37,70,27.41,76.99,6.3,526.22,watermelon
53,22,67,30.1,67.42,7.12,554.31,watermelon
99,34,69,26.12,76.1,6.13,510.38,watermelon
77,41,49,26.42,61.15,6.16,440.29,watermelon
